               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064635,            0.048733,            0.018829,             0.71666,             0.69879,             0.73175,             0.36952,            0.037818,              0.0345,            0.017091,           0.0033279,           0.0033279,            0.070049
                   1,            0.047035,            0.041057,            0.013064,             0.70366,             0.76734,             0.79606,             0.41101,            0.036313,            0.033604,            0.013809,           0.0066393,           0.0066393,            0.040027
                   2,            0.043342,             0.04063,            0.011511,             0.74443,             0.77979,             0.83596,             0.44466,            0.034884,            0.033326,            0.012689,           0.0099286,           0.0099286,           0.0099829
                   3,            0.040239,             0.03988,            0.010755,             0.78742,               0.788,               0.857,             0.48173,             0.03281,            0.032352,            0.011794,            0.009901,            0.009901,            0.009901
                   4,            0.038726,            0.039285,            0.010161,             0.82204,             0.77439,             0.85578,             0.48622,            0.032966,            0.032636,            0.011312,            0.009901,            0.009901,            0.009901
                   5,            0.037964,            0.038543,           0.0090629,             0.87964,             0.81808,             0.89727,             0.51336,            0.032423,            0.032367,           0.0068493,            0.009868,            0.009868,            0.009868
                   6,            0.037827,            0.038834,           0.0069171,             0.90757,             0.85246,             0.91922,             0.53444,            0.032188,             0.03183,           0.0044475,            0.009835,            0.009835,            0.009835
                   7,            0.037366,            0.038437,           0.0059958,             0.79957,             0.77347,             0.80506,             0.46942,            0.031757,            0.031702,            0.020801,            0.009802,            0.009802,            0.009802
                   8,            0.037202,            0.038202,           0.0054184,             0.92351,             0.86698,              0.9273,             0.55136,            0.031638,            0.031547,           0.0024266,            0.009769,            0.009769,            0.009769
                   9,            0.036591,            0.037977,            0.005029,               0.897,             0.85263,             0.91348,              0.5398,            0.031432,            0.031287,           0.0050451,            0.009736,            0.009736,            0.009736
                  10,             0.03668,            0.037808,           0.0045271,             0.92638,             0.87737,             0.93341,             0.55628,            0.031389,            0.031251,           0.0021637,            0.009703,            0.009703,            0.009703
                  11,            0.036333,             0.03755,           0.0042346,             0.92456,             0.88083,             0.93411,             0.56446,            0.030953,             0.03094,           0.0021816,             0.00967,             0.00967,             0.00967
                  12,            0.036161,            0.037254,            0.003957,             0.92735,             0.88125,             0.93672,             0.56289,            0.030837,            0.030855,           0.0020405,            0.009637,            0.009637,            0.009637
                  13,            0.036042,            0.037436,           0.0036118,             0.93081,             0.88467,             0.93946,             0.56806,            0.030765,            0.030732,           0.0019399,            0.009604,            0.009604,            0.009604
                  14,            0.035805,            0.037428,           0.0038031,             0.93042,             0.89182,             0.94173,             0.57049,            0.030445,            0.030561,           0.0017175,            0.009571,            0.009571,            0.009571
                  15,            0.035797,            0.036923,           0.0035354,             0.93095,             0.89222,             0.94257,             0.57064,            0.030539,             0.03056,           0.0017228,            0.009538,            0.009538,            0.009538
                  16,            0.035348,            0.036656,           0.0034039,             0.93025,               0.893,             0.94329,              0.5741,            0.030298,            0.030357,           0.0016977,            0.009505,            0.009505,            0.009505
                  17,            0.035431,             0.03688,           0.0032553,             0.93379,             0.89449,             0.94499,             0.57648,            0.030226,            0.030274,           0.0016549,            0.009472,            0.009472,            0.009472
                  18,             0.03529,            0.036822,           0.0031566,             0.92853,             0.89884,             0.94472,             0.57882,            0.030066,            0.030252,           0.0016542,            0.009439,            0.009439,            0.009439
                  19,            0.035455,            0.036771,           0.0030807,             0.93378,             0.89813,             0.94669,             0.58197,            0.029958,            0.030127,            0.001512,            0.009406,            0.009406,            0.009406
                  20,            0.035165,            0.036591,            0.002973,             0.93486,             0.89812,             0.94742,             0.58083,            0.029921,            0.030069,           0.0015321,            0.009373,            0.009373,            0.009373
                  21,            0.035064,            0.036203,           0.0029631,              0.9322,             0.90162,             0.94738,              0.5812,            0.029954,             0.03006,           0.0015521,             0.00934,             0.00934,             0.00934
                  22,            0.035161,            0.037065,           0.0028218,             0.93398,             0.90436,             0.95023,             0.58539,            0.029741,            0.029909,           0.0014162,            0.009307,            0.009307,            0.009307
                  23,            0.034843,            0.036518,           0.0029963,             0.93068,             0.90682,             0.94917,             0.58572,            0.029702,            0.029851,            0.001505,            0.009274,            0.009274,            0.009274
                  24,            0.034975,            0.036369,            0.002985,             0.93985,              0.8989,             0.94921,             0.58744,            0.029561,            0.029742,           0.0016102,            0.009241,            0.009241,            0.009241
